iter	Passed	Remaining
421	2145	2938
422	2147	2929
423	2149	2919
424	2158	2920
425	2161	2912
426	2169	2910
427	2171	2902
428	2173	2892
429	2175	2883
430	2177	2874
431	2179	2865
432	2190	2868
433	2193	2860
434	2201	2859
435	2204	2851
436	2206	2842
437	2208	2833
438	2212	2826
439	2219	2824
440	2222	2817
441	2224	2808
442	2235	2810
443	2238	2803
444	2242	2796
445	2253	2799
446	2262	2798
447	2266	2792
448	2268	2784
449	2271	2775
450	2276	2771
451	2281	2766
452	2291	2766
453	2293	2758
454	2296	2750
455	2298	2741
456	2300	2733
457	2304	2727
458	2309	2722
459	2312	2714
460	2314	2706
461	2321	2703
462	2323	2694
463	2325	2686
464	2328	2678
465	2332	2672
466	2342	2673
467	2345	2666
468	2353	2664
469	2357	2658
470	2359	2650
471	2363	2644
472	2372	2642
473	2374	2634
474	2382	2633
475	2386	2626
476	2388	2619
477	2391	2611
478	2398	2608
479	2406	2607
480	2409	2599
481	2411	2591
482	2413	2583
483	2415	2575
484	2417	2567
485	2420	2559
486	2425	2555
487	2428	2548
488	2431	2541
489	2440	2540
490	2443	2532
491	2445	2525
492	2447	2517
493	2451	2510
494	2457	2507
495	2460	2499
496	2462	2492
497	2472	2492
498	2475	2485
499	2477	2477
500	2481	2471
501	2489	2469
502	2494	2464
503	2497	2457
504	2499	2450
505	2501	2442
506	2504	2435
507	2509	2430
508	2514	2425
509	2523	2424
510	2526	2418
511	2529	2410
512	2531	2403
513	2533	2395
514	2537	2389
515	2547	2389
516	2557	2389
517	2560	2382
518	2562	2374
519	2564	2367
520	2571	2363
521	2576	2359
522	2579	2352
523	2588	2351
524	2591	2344
525	2593	2337
526	2596	2330
527	2613	2336
528	2615	2329
529	2618	2321
530	2621	2314
531	2623	2307
532	2626	2300
533	2633	2298
534	2642	2297
535	2645	2289
536	2647	2282
537	2649	2275
538	2651	2267
539	2653	2260
540	2657	2254
541	2661	2249
542	2664	2242
543	2669	2237
544	2672	2231
545	2674	2224
546	2676	2216
547	2678	2209
548	2681	2202
549	2683	2195
550	2685	2188
551	2691	2184
552	2694	2178
553	2697	2171
554	2699	2164
555	2703	2158
556	2705	2151
557	2709	2146
558	2717	2143
559	2721	2137
560	2727	2134
561	2729	2127
562	2731	2120
563	2734	2113
564	2736	2106
565	2739	2100
566	2746	2097
567	2754	2094
568	2756	2088
569	2758	2081
570	2760	2074
571	2763	2067
572	2765	2060
573	2767	2053
574	2771	2048
575	2774	2042
576	2777	2035
577	2779	2029
578	2783	2023
579	2787	2018
580	2789	2011
581	2791	2004
582	2793	1998
583	2797	1993
584	2803	1988
585	2806	1982
586	2808	1975
587	2810	1969
588	2812	1962
589	2814	1956
590	2816	1949
591	2819	1942
592	2822	1937
593	2828	1933
594	2831	1927
595	2833	1920
596	2839	1916
597	2844	1911
598	2846	1905
599	2851	1900
600	2860	1899
601	2870	1898
602	2873	1891
603	2877	1886
604	2880	1880
605	2889	1878
606	2892	1872
607	2900	1870
608	2902	1863
609	2905	1857
610	2908	1851
611	2918	1850
612	2929	1849
613	2932	1843
614	2935	1837
615	2938	1831
616	2941	1825
617	2947	1821
618	2957	1820
619	2960	1814
620	2963	1808
621	2965	1802
622	2967	1795
623	2970	1789
624	2983	1790
625	2994	1788
626	2997	1783
627	3000	1777
628	3005	1772
629	3010	1767
630	3020	1766
631	3024	1761
632	3027	1755
633	3038	1754
634	3048	1752
635	3053	1747
636	3055	1741
637	3058	1735
638	3067	1733
639	3070	1727
640	3073	1721
641	3081	1718
642	3083	1711
643	3085	1705
644	3087	1699
645	3089	1692
646	3096	1689
647	3098	1683
648	3104	1678
649	3110	1674
650	3112	1668
651	3114	1662
652	3116	1655
653	3118	1649
654	3123	1645
655	3127	1640
656	3138	1638
657	3140	1632
658	3143	1626
659	3145	1620
660	3147	1614
661	3152	1609
662	3157	1605
663	3169	1604
664	3172	1598
665	3174	1592
666	3176	1586
667	3180	1580
668	3185	1576
669	3199	1575
670	3202	1570
671	3205	1564
672	3208	1559
673	3211	1553
674	3214	1547
675	3217	1541
676	3235	1543
677	3240	1538
678	3242	1533
679	3245	1527
680	3252	1523
681	3256	1518
682	3260	1513
683	3262	1507
684	3265	1501
685	3274	1498
686	3283	1495
687	3286	1490
688	3289	1484
689	3291	1478
690	3294	1473
691	3296	1467
692	3299	1461
693	3303	1456
694	3307	1451
695	3316	1448
696	3318	1442
697	3320	1436
698	3322	1430
699	3324	1424
700	3327	1419
701	3332	1414
702	3339	1410
703	3344	1406
704	3348	1401
705	3351	1395
706	3354	1390
707	3359	1385
708	3362	1380
709	3372	1377
710	3376	1372
711	3378	1366
712	3380	1360
713	3383	1355
714	3387	1350
715	3390	1344
716	3392	1339
717	3404	1337
718	3407	1331
719	3409	1325
720	3412	1320
721	3416	1315
722	3420	1310
723	3423	1304
724	3432	1302
725	3435	1296
726	3437	1290
727	3439	1285
728	3441	1279
729	3446	1274
730	3449	1269
731	3452	1263
732	3454	1258
733	3466	1256
734	3468	1250
735	3471	1245
736	3478	1241
737	3482	1236
738	3484	1230
739	3495	1228
740	3497	1222
741	3500	1217
742	3502	1211
743	3508	1207
744	3519	1204
745	3524	1200
746	3530	1195
747	3533	1190
748	3536	1185
749	3538	1179
750	3551	1177
751	3554	1172
752	3560	1167
753	3563	1162
754	3569	1158
755	3576	1154
756	3578	1148
757	3580	1143
758	3582	1137
759	3586	1132
760	3590	1127
761	3593	1122
762	3595	1116
763	3605	1113
764	3608	1108
765	3610	1102
766	3612	1097
767	3614	1091
768	3617	1086
769	3621	1081
770	3623	1076
771	3626	1070
772	3637	1068
773	3639	1062
774	3641	1057
775	3643	1051
776	3647	1046
777	3652	1042
778	3658	1037
779	3664	1033
780	3667	1028
781	3670	1023
782	3672	1017
783	3677	1013
784	3685	1009
785	3699	1007
786	3702	1002
787	3704	996
788	3711	992
789	3720	988
790	3725	984
791	3728	979
792	3730	973
793	3737	969
794	3750	967
795	3754	962
796	3757	957
797	3759	951
798	3763	946
799	3767	941
800	3773	937
801	3782	933
802	3784	928
803	3786	923
804	3789	917
805	3792	912
806	3795	907
807	3797	902
808	3799	897
809	3801	891
810	3805	886
811	3812	882
812	3814	877
813	3817	872
814	3826	868
815	3830	863
816	3834	858
817	3837	853
818	3839	848
819	3841	843
820	3843	838
821	3848	833
822	3853	828
823	3855	823
824	3870	820
825	3874	816
826	3878	811
827	3886	807
828	3893	803
829	3895	797
830	3897	792
831	3900	787
832	3903	782
833	3908	777
834	3913	773
835	3921	769
836	3924	764
837	3927	759
838	3929	754
839	3931	748
840	3936	744
841	3939	739
842	3941	734
843	3944	729
844	3955	725
845	3957	720
846	3959	715
847	3964	710
848	3967	705
849	3970	700
850	3978	696
851	3982	691
852	3984	686
853	3986	681
854	3988	676
855	3993	671
856	3996	666
857	4001	662
858	4006	657
859	4010	652
860	4013	647
861	4016	642
862	4024	638
863	4028	634
864	4038	630
865	4040	625
866	4042	620
867	4045	615
868	4047	610
869	4054	605
870	4057	600
871	4061	596
872	4069	592
873	4072	587
874	4074	582
875	4076	577
876	4081	572
877	4085	567
878	4088	562
879	4092	558
880	4103	554
881	4106	549
882	4108	544
883	4115	540
884	4118	535
885	4131	531
886	4134	526
887	4136	521
888	4138	516
889	4142	511
890	4147	507
891	4149	502
892	4162	498
893	4164	493
894	4167	488
895	4170	484
896	4173	479
897	4176	474
898	4178	469
899	4192	465
900	4195	461
901	4199	456
902	4203	451
903	4206	446
904	4208	441
905	4220	437
906	4222	432
907	4224	428
908	4227	423
909	4233	418
910	4235	413
911	4250	410
912	4252	405
913	4254	400
914	4256	395
915	4259	390
916	4262	385
917	4265	380
918	4267	376
919	4269	371
920	4271	366
921	4283	362
922	4285	357
923	4287	352
924	4291	347
925	4294	343
926	4299	338
927	4302	333
928	4306	329
929	4308	324
930	4310	319
931	4313	314
932	4316	309
933	4320	305
934	4323	300
935	4327	295
936	4335	291
937	4338	286
938	4340	281
939	4342	277
940	4344	272
941	4352	267
942	4355	263
943	4357	258
944	4370	254
945	4372	249
946	4374	244
947	4380	240
948	4394	236
949	4397	231
950	4399	226
951	4402	221
952	4404	217
953	4410	212
954	4413	207
955	4417	203
956	4426	198
957	4428	194
958	4431	189
959	4433	184
960	4437	180
961	4440	175
962	4442	170
963	4445	165
964	4447	161
965	4458	156
966	4461	152
967	4463	147
968	4468	142
969	4471	138
970	4476	133
971	4481	129
972	4486	124
973	4488	119
974	4490	115
975	4491	110
976	4494	105
977	4497	101
978	4500	96
979	4502	91
980	4507	87
981	4513	82
982	4517	78
983	4520	73
984	4522	68
985	4525	64
986	4529	59
987	4532	55
988	4534	50
989	4537	45
990	4549	41
991	4551	36
992	4554	32
993	4564	27
994	4569	22
995	4573	18
996	4575	13
997	4577	9
998	4579	4
999	4582	0
